21,115,442
21,115,447
21,115,438
21,115,467
22,117,455
22,117,454
22,117,447
22,117,473
23,117,454
23,117,461
23,117,453
23,117,472
24,115,460
24,115,463
24,115,462
24,115,463
25,117,460
25,117,467
25,117,460
25,117,472
26,116,460
26,116,473
26,116,460
26,116,470
27,117,460
27,117,469
27,117,460
27,117,473
28,118,463
28,118,476
28,118,463
28,118,476
29,118,472
29,118,478
29,118,473
29,118,478
30,119,479
30,119,480
30,119,473
30,119,481
31,122,492
31,122,473
31,122,479
31,122,492
32,121,499
32,121,487
32,121,485
32,121,490
33,124,503
33,124,505
33,124,492
33,124,502
33,124,503
33,124,505
33,124,492
33,124,502
35,125,515
35,125,498
35,125,495
35,125,504
36,126,495
36,126,502
36,126,496
36,126,510
37,126,487
37,126,502
37,126,492
37,126,509
38,123,481
38,123,489
38,123,496
38,123,497
39,126,494
39,126,505
39,126,495
39,126,510
40,124,499
40,124,503
40,124,497
40,124,503
41,123,498
41,123,509
41,123,493
41,123,494
42,126,496
42,126,504
42,126,497
42,126,508
43,125,500
43,125,505
43,125,499
43,125,506
44,126,507
44,126,512
44,126,500
44,126,511
45,127,513
45,127,516
45,127,504
45,127,512
46,129,506
46,129,514
46,129,507
46,129,523
47,127,508
47,127,512
47,127,506
47,127,513
48,125,506
48,125,517
48,125,503
48,125,507
49,125,503
49,125,504
49,125,497
49,125,507
0,125,497
0,125,504
0,125,499
0,125,507
1,126,504
1,126,508
1,126,497
1,126,508
2,125,503
2,125,505
2,125,500
2,125,504
3,125,499
3,125,505
3,125,500
3,125,507
4,126,507
4,126,513
4,126,503
4,126,511
5,127,511
5,127,515
5,127,503
5,127,512
6,128,511
6,128,520
6,128,512
6,128,519
7,129,521
7,129,525
7,129,516
7,129,520
8,128,519
8,128,516
8,128,506
8,128,519
9,129,520
9,129,524
9,129,516
9,129,518
10,128,515
10,128,519
10,128,514
10,128,517
11,128,518
11,128,522
11,128,512
11,128,518
12,128,521
12,128,525
12,128,514
12,128,516
13,128,520
13,128,521
13,128,512
13,128,515
14,127,519
14,127,522
14,127,509
14,127,513
15,127,512
